seed,dimension,epsilon,tau,family,objective,learned_means,learned_scales,learned_weights,learned_weight_component_2,device_used,cuda_available,gpu_name,training_device,evaluation_device,eval_batch_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb
0,10,0.05,0.1,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003981202724572,1.4838088119057058,1.4940729413433465,1.5012697513078452,1.5017614936679375,1.5015037772101725,1.4965361949510632,1.5031265827930986,1.4902215135029901,1.506279955260448],[0.0034175103364623236,0.001497598030392135,-0.0014637570245258952,0.0006233808492180263,-0.0003149782590883952,-0.001704394946508737,0.0018765440906610995,-0.0013492597310254717,-0.0005972229644579047,0.00498253747889614]]","[[1.003556794993872,0.9939656492333627,0.9995552072132917,1.0010550016537443,0.9986899947348574,0.9949682558791755,1.0050713434378298,0.9973875965520526,1.0006090839785677,1.0005195101883537],[0.10048360922207607,0.10067814734392344,0.09932130204639521,0.10029385777228823,0.09876836464564318,0.09932536523566869,0.09882561481555928,0.09922588821098753,0.10008411278373527,0.10027073661600908]]","[0.950118839771653,0.049881160228347037]",0.049881160228347037,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.1,diagonal_gaussian,inclusive_kl,"[1.4198420771433629,1.4376781167391535,1.4244323191117516,1.4314509703242526,1.4288886120971658,1.424432457929099,1.4206135330445178,1.4324802377733266,1.4308826985388128,1.4051840379932696]","[1.0341741409233636,1.0304934740925258,1.0360895302110105,1.0199423250865314,1.0383674771474085,1.0254254206878566,1.0312993110398436,1.028665261386309,1.0294683231626591,1.0331803672132212]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.05,0.1,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4932122462855466,1.5120369086495202,1.4982757157688875,1.5055949776999402,1.5030468959197922,1.4981299583347745,1.4942589882084443,1.506523615384942,1.5047636887457922,1.4780959252264267],[0.009630694061758125,0.00014560781726284346,-0.0007706341098100945,0.0026546605803065117,-0.003423044520774283,0.004163905711243146,-0.004022705454669567,0.0025864349093844253,-0.00135412253412366,-0.0007740722617920028]]","[[1.0067959318858264,1.0024298389746813,1.0085082664082217,0.992069363529187,1.0099855555893729,0.9978145594965768,1.0045012736521304,1.0001561354834876,1.0010142339357992,1.0068669360304496],[0.10009535639485874,0.09878365453329065,0.09967690331818112,0.100762762348293,0.10023085843110716,0.10069886086280563,0.10091772700126501,0.10076973403858777,0.1024022034682234,0.09968301903899852]]","[0.9495981836712946,0.05040181632870552]",0.05040181632870552,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.05,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.05,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003999812555235,1.4838065171653012,1.4940708527190179,1.5012682886679336,1.5017637136325739,1.5015051614563715,1.496534811374054,1.5031265772604938,1.490225228425428,1.5062785161828296],[-0.001312673759574679,-0.000577090526032809,-0.0001572299473908305,0.000632688936272636,-8.82460037184382e-05,-0.0010641634670136757,0.0006884661719592778,0.0020997900295056764,0.0005881408631493591,-0.0003993783605248669]]","[[1.0035577126997284,0.9939648033464302,0.9995564766641829,1.0010552271355793,0.9986884772721462,0.9949676159880912,1.0050707623300221,0.9973871148097112,1.000608386057096,1.0005170509948083],[0.05023970615214199,0.05035158079509416,0.049658206704302994,0.05015157985370861,0.04937429574626383,0.049661380427963114,0.04940445968669184,0.049630707041184934,0.05003766052768526,0.05014118128355891]]","[0.9007261145681654,0.09927388543183449]",0.09927388543183449,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.05,diagonal_gaussian,inclusive_kl,"[1.34547989821672,1.3617435700330465,1.3499121143538557,1.3495676536079606,1.3524560231838096,1.3531892090438618,1.3531310389544213,1.355490918838423,1.3482659110938544,1.3453547492861266]","[1.054744073343572,1.0509052864256487,1.0498594153931917,1.0532077050157358,1.059891373876025,1.0569830864505299,1.059400045034938,1.0454854088977252,1.047517622150712,1.0403587189901367]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.05,diagonal_gaussian_mixture_2,inclusive_kl,"[[1.4929019240012995,1.5111673136617434,1.4976476558841911,1.4975025664368904,1.500413138279455,1.5012680611266151,1.5014391246507104,1.5038735929705644,1.4958128017218169,1.4926174881150407],[0.0034361802752739526,-0.0003196053779177801,-0.002637626012564936,-0.0022209565413053196,0.0009825070366554173,-0.003377559418187401,0.003398034773310186,0.0012290545367658488,0.0027418325674561416,0.0010603093906792526]]","[[1.0055104640735906,0.9998780416370208,1.0010482785541528,1.005011402201816,1.0114028162067477,1.0086304019537486,1.0093609316403827,0.9935486924356948,0.9990807910892354,0.9921461774704922],[0.05011312935881574,0.050340790089102715,0.05065459129838022,0.04920864288029771,0.05133258083598063,0.0498953342645512,0.04919945430685012,0.05017093298231875,0.05064974577897763,0.05006025533802699]]","[0.9014641405271352,0.09853585947286492]",0.09853585947286492,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.1,diagonal_gaussian,exclusive_kl,"[1.5049306630091426,1.490289905226438,1.4983587894290507,1.4782631990348916,1.517195472202494,1.5005178052334458,1.5040273665489725,1.4984978338696078,1.5102924301407985,1.498616800199337]","[0.9950549113565911,0.998106082299281,0.9973185368841655,0.9982937150063702,1.0067602372087003,1.0003892993692631,1.0092189530160967,0.9922539044810654,1.0101210043602902,0.9999520554221435]",[1.0],,cpu,False,,cpu,cpu,65536,0.0,0.0
0,10,0.1,0.1,diagonal_gaussian_mixture_2,exclusive_kl,"[[1.5003966962619928,1.4838078322276673,1.4940722594202736,1.5012691696056164,1.5017630008788716,1.5015039686379905,1.4965367968773284,1.5031280630763224,1.4902228913107856,1.5062777310773203],[0.0034127391752311197,0.0014956764126948692,-0.0014625185954733962,0.0006174252071491047,-0.0003197146588020419,-0.0017005388780561618,0.0018710222636103345,-0.0013493284332402955,-0.0006024606110483223,0.004981001104925046]]","[[1.0035593112685575,0.9939660506623644,0.9995564016730629,1.0010571823061833,0.9986887189113054,0.9949688416090312,1.0050703285622733,0.997386995193548,1.000609004468358,1.0005200347062455],[0.10048348072746736,0.1006790999401308,0.09932042661008303,0.10029483744707357,0.09876970109266489,0.0993254965389681,0.09882676910904079,0.09922827197468224,0.10008407378860683,0.10026980778690184]]","[0.900297370799974,0.09970262920002593]",0.09970262920002593,cpu,False,,cpu,cpu,65536,0.0,0.0
