dataset,seed,radius,prior_log_mass,posterior_log_mass,prior_mass,posterior_mass
Iris 0 vs 1,2,0.4000166893741525,-12.290712618511106,-8.747419380189367,4.5942151658843116e-06,0.0001588707816491503
Iris 0 vs 1,2,0.45,-11.70382873235802,-8.17093606567404,8.262125059797446e-06,0.0002827532169481798
Iris 0 vs 1,3,0.03,-25.16865023061756,-21.928543197052868,1.173259522868405e-11,2.9960888843473877e-10
Iris 0 vs 1,3,0.03374859189280695,-24.579954406224097,-21.339895414953286,2.1137880382875848e-11,5.397605962495016e-10
Iris 0 vs 1,3,0.037965581824907835,-23.991261440044827,-20.75126323991139,3.8082683438322416e-11,9.723908921311705e-10
Iris 0 vs 1,3,0.04270949756605945,-23.402572091789075,-20.162650815263806,6.861073601337793e-11,1.75174953300821e-09
Iris 0 vs 1,3,0.048046180110125715,-22.813887322993445,-19.57406338409854,1.236102898701622e-10,3.1556751060957736e-09
Iris 0 vs 1,3,0.05404969748483107,-22.225208350630577,-18.98550758102879,2.2269714746168538e-10,5.684585741839405e-09
Iris 0 vs 1,3,0.06080337274484124,-21.636536714958204,-18.39699180129923,4.0120976728577573e-10,1.023971754410244e-08
Iris 0 vs 1,3,0.06840094041572894,-21.047874365392357,-17.808526667674144,7.22810257918925e-10,1.844400101308852e-08
Iris 0 vs 1,3,0.07694784743915471,-20.459223769195297,-17.220125620936678,1.302182975057976e-09,3.321960507716017e-08
Iris 0 vs 1,3,0.08656271667513342,-19.870588049043004,-16.631805666605462,2.345920325731771e-09,5.982718583882633e-08
Iris 0 vs 1,3,0.09737899327339176,-19.281971157151865,-16.043588319004204,4.2261638054730564e-09,1.0773532425978382e-07
Iris 0 vs 1,3,0.1095467967638697,-18.693378095690132,-15.455500794535393,7.613231658985413e-09,1.9398193621048475e-07
Iris 0 vs 1,3,0.12323500457160347,-18.10481519579259,-14.867577519447051,1.3714458498111952e-08,3.492151882723357e-07
Iris 0 vs 1,3,0.1386335958731748,-17.51629047078527,-14.279862034188866,2.4704251792326244e-08,6.285425978595849e-07
Iris 0 vs 1,3,0.1559562883252034,-16.927814063398348,-13.692409397408397,4.4498335035874205e-08,1.130998827630769e-06
Iris 0 vs 1,3,0.17544350426014077,-16.33939881204095,-13.10528921865092,8.014736678312562e-08,2.034441510702709e-06
Iris 0 vs 1,3,0.19736570751731428,-15.751060967939374,-12.518589480940737,1.4434479813807034e-07,3.658016560004175e-06
Iris 0 vs 1,3,0.22202715722123137,-15.162821103496094,-11.932421353778068,2.599384139281284e-07,6.5737812797175775e-06
Iris 0 vs 1,3,0.24977013060598077,-14.574705263120594,-11.346925244846098,4.6804318805364495e-07,1.1805733615959323e-05
Iris 0 vs 1,3,0.2809796734944778,-13.986746421674194,-10.76227839591165,8.426228058904511e-07,2.118370305108266e-05
Iris 0 vs 1,3,0.3160889443646427,-13.398986333416037,-10.178704395615718,1.5166807417831003e-06,3.7970371656159885e-05
Iris 0 vs 1,3,0.3555852261730161,-12.811477877054724,-9.596485058740832,2.729265924486881e-06,6.796721789971597e-05
Iris 0 vs 1,3,0.4000166893741525,-12.224288031667337,-9.015975205966159,4.90974755633821e-06,0.0001214539710609091
Iris 0 vs 1,3,0.45,-11.637501655781412,-8.437620964730254,8.828709921467106e-06,0.00021656475309544227
Iris 0 vs 1,4,0.03,-25.210555914050687,-21.70935049845791,1.125109212681589e-11,3.730343913747861e-10
Iris 0 vs 1,4,0.03374859189280695,-24.621859688516118,-21.120709519317288,2.0270394598887345e-11,6.720357890441944e-10
