a_p,a_q,r,mc_p_mass,mc_q_mass,mc_local_mass_ratio,mc_samples,mc_p_count_inside,mc_q_count_inside
0.5,1.0,0.021544346900318846,0.13608,0.016965,0.12466931216931217,200000,27216,3393
0.5,1.0,0.02648969287610527,0.1511,0.0211,0.13964262078093978,200000,30220,4220
0.5,1.0,0.03257020655659783,0.167235,0.025725,0.1538254551977756,200000,33447,5145
0.5,1.0,0.04004645731836127,0.18585,0.03182,0.17121334409470004,200000,37170,6364
0.5,1.0,0.04923882631706741,0.205835,0.03931,0.19097821070274734,200000,41167,7862
0.5,1.0,0.06054123584037269,0.228085,0.047935,0.2101628778744766,200000,45617,9587
0.5,1.0,0.07443803013251689,0.252855,0.05886,0.23278163374265884,200000,50571,11772
0.5,1.0,0.09152473108773893,0.28005,0.071935,0.25686484556329225,200000,56010,14387
0.5,1.0,0.11253355826007645,0.31062,0.08796,0.2831755843152405,200000,62124,17592
0.5,1.0,0.13836480680324595,0.344075,0.10851,0.3153672891084792,200000,68815,21702
0.5,1.0,0.17012542798525893,0.38106,0.133905,0.3514013541174618,200000,76212,26781
0.5,1.0,0.20917646557569972,0.422275,0.16446,0.3894618435853413,200000,84455,32892
0.5,1.0,0.25719138090593446,0.467265,0.202605,0.433597637315014,200000,93453,40521
0.5,1.0,0.31622776601683794,0.517475,0.24818,0.4795980482148896,200000,103495,49636
0.5,2.0,0.0001,0.0089,0.0,0.0,200000,1780,0
0.5,2.0,0.00012295426265956227,0.00991,0.0,0.0,200000,1982,0
0.5,2.0,0.00015117750706156616,0.010925,0.0,0.0,200000,2185,0
0.5,2.0,0.00018587918911465635,0.01219,0.0,0.0,200000,2438,0
0.5,2.0,0.00022854638641349906,0.013615,0.0,0.0,200000,2723,0
0.5,2.0,0.0002810075242497918,0.015005,0.0,0.0,200000,3001,0
0.5,2.0,0.0003455107294592218,0.01667,0.0,0.0,200000,3334,0
0.5,2.0,0.0004248201698162612,0.018625,0.0,0.0,200000,3725,0
0.5,2.0,0.0005223345074266843,0.02072,0.0,0.0,200000,4144,0
0.5,2.0,0.0006422325422229357,0.02294,0.0,0.0,200000,4588,0
0.5,2.0,0.0007896522868499724,0.025575,0.0,0.0,200000,5115,0
0.5,2.0,0.0009709111468707553,0.028305,0.0,0.0,200000,5661,0
0.5,2.0,0.0011937766417144358,0.03142,0.0,0.0,200000,6284,0
0.5,2.0,0.0014677992676220704,0.035055,0.0,0.0,200000,7011,0
0.5,2.0,0.0018047217668271701,0.038785,0.0,0.0,200000,7757,0
0.5,2.0,0.0022189823414589718,0.0429,0.0,0.0,200000,8580,0
0.5,2.0,0.0027283333764867696,0.04775,0.0,0.0,200000,9550,0
0.5,2.0,0.0033546021859540433,0.052935,1.5e-05,0.00028336639274582036,200000,10587,3
0.5,2.0,0.004124626382901352,0.058905,2.5e-05,0.0004244121891180715,200000,11781,5
0.5,2.0,0.005071403956558132,0.06555,2.5e-05,0.00038138825324180017,200000,13110,5
0.5,2.0,0.006235507341273912,0.072685,3e-05,0.00041273990506982184,200000,14537,6
0.5,2.0,0.007666822074546214,0.080455,3.5e-05,0.00043502579081474113,200000,16091,7
0.5,2.0,0.009426684551178854,0.089585,4.5e-05,0.0005023162359770051,200000,17917,9
0.5,2.0,0.011590510483144828,0.100165,7e-05,0.0006988469026106923,200000,20033,14
0.5,2.0,0.014251026703029978,0.11095,0.00011,0.0009914375844975215,200000,22190,22
0.5,2.0,0.017522244804127837,0.12315,0.00014,0.0011368250101502233,200000,24630,28
0.5,2.0,0.021544346900318846,0.13608,0.000195,0.0014329805996472662,200000,27216,39
0.5,2.0,0.02648969287610527,0.1511,0.0003,0.0019854401058901384,200000,30220,60
0.5,2.0,0.03257020655659783,0.167235,0.00049,0.002930008670433821,200000,33447,98
0.5,2.0,0.04004645731836127,0.18585,0.00078,0.004196933010492333,200000,37170,156
0.5,2.0,0.04923882631706741,0.205835,0.001175,0.005708455801977312,200000,41167,235
0.5,2.0,0.06054123584037269,0.228085,0.00184,0.008067167941776093,200000,45617,368
0.5,2.0,0.07443803013251689,0.252855,0.00285,0.01127128196001661,200000,50571,570
0.5,2.0,0.09152473108773893,0.28005,0.00419,0.014961613997500445,200000,56010,838
0.5,2.0,0.11253355826007645,0.31062,0.00638,0.02053956602923186,200000,62124,1276
0.5,2.0,0.13836480680324595,0.344075,0.00941,0.02734868851267892,200000,68815,1882
0.5,2.0,0.17012542798525893,0.38106,0.01429,0.037500656064661735,200000,76212,2858
0.5,2.0,0.20917646557569972,0.422275,0.02161,0.05117518204961222,200000,84455,4322
0.5,2.0,0.25719138090593446,0.467265,0.032465,0.0694787754272201,200000,93453,6493
0.5,2.0,0.31622776601683794,0.517475,0.04865,0.09401420358471423,200000,103495,9730
