a_p,a_q,alpha,r,p_mass,q_mass,local_mass_ratio,local_rekl_q_p,local_rekl_p_q,normalised_local_rekl_q_p,normalised_local_rekl_p_q,estimated_MI_p,estimated_MI_q,theoretical_MI_p,theoretical_MI_q,estimated_slope_p,estimated_slope_q,slope_points_p,slope_points_q,mi_preserved_theoretical,mi_preserved_estimated,metrics_match_theoretical_classification,integration_status,integration_message,integration_error_q_p,integration_error_p_q
0.5,0.25,0.5,0.006235507341273912,0.0732580958608696,0.27362514127276016,3.735083993889548,0.0799150409008489,0.0799150409008489,1.0908697525065634,0.2920603001943688,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.5887959271008185e-12,3.5887959271008185e-12
0.5,0.25,0.5,0.007666822074546214,0.08123188980129477,0.2881319484802,3.54702998028254,0.08088584316306723,0.08088584316306606,0.9957400149242616,0.2807250066843053,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.8709062077348904e-12,1.8515189381673736e-12
0.5,0.25,0.5,0.009426684551178854,0.09007350141331981,0.30340769265922324,3.368445634937382,0.08176059238496818,0.08176059238496818,0.9077097159773302,0.26947435534140785,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.0863810679117023e-11,2.0863810679117023e-11
0.5,0.25,0.5,0.011590510483144828,0.09987731648898225,0.3194930299055995,3.198854766395768,0.08253489596905808,0.08253489596906205,0.8263627705512366,0.2583308186518141,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,8.062744916159659e-12,8.043010701896947e-12
0.5,0.25,0.5,0.014251026703029978,0.1107479444730941,0.3364307057802745,3.0378054182487277,0.08320555516476012,0.08320555516457688,0.7513056387694371,0.2473185524834914,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.8527998579820348e-11,3.063815867676567e-11
0.5,0.25,0.5,0.017522244804127837,0.12280129747315449,0.3542656270018388,2.8848687619060747,0.08377089278396857,0.08377089278407263,0.682166186414127,0.23646350760311788,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,6.417602560482294e-12,5.53157519789238e-12
0.5,0.25,0.5,0.021544346900318846,0.136165763861553,0.37304491381630767,2.73963809431277,0.08423113621949656,0.08423113621940785,0.6185926170482828,0.22579355219646394,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.7110354799676486e-11,1.7626872184095532e-11
0.5,0.25,0.5,0.02648969287610527,0.15098347132458603,0.3928179183506829,2.6017279567390417,0.08458886342231338,0.08458886342397688,0.5602524745272498,0.21533860720798717,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.787554909122747e-11,2.6103924577469684e-11
0.5,0.25,0.5,0.03257020655659783,0.1674116232336577,0.4136361854126177,2.470773399259754,0.08484952056615568,0.08484952056602912,0.5068317176981824,0.2051307974455584,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,3.5633454520400676e-11,3.421468663944438e-11
0.5,0.25,0.5,0.04004645731836127,0.18562387303070224,0.435553318147958,2.346429427619568,0.08502202082514995,0.08502202082030139,0.45803386944246816,0.1952046219779212,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,4.970644729151985e-11,5.9415625197623e-11
0.5,0.25,0.5,0.04923882631706741,0.2058116683564369,0.4586246886819969,2.2283706863875343,0.08511943424328874,0.08511943424327648,0.4135792441849013,0.18559714804690103,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,8.947653729052263e-11,9.78005315621644e-11
0.5,0.25,0.5,0.06054123584037269,0.2281854406446653,0.48290689860158714,2.1162914567962243,0.0851597779264248,0.08515977792583211,0.373204257404999,0.17634823228336508,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.3967539624903935e-10,9.802368639011405e-11
0.5,0.25,0.5,0.07443803013251689,0.2529754215615668,0.5084568385056725,2.0099060824449655,0.08516691345074139,0.08516691345908649,0.33666082232425193,0.16750077294542345,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.7155248055455985e-10,1.43648218320358e-10
0.5,0.25,0.5,0.09152473108773893,0.2804317099363569,0.53533010854508,1.9089499852444343,0.0851715515643436,0.08517155156457365,0.30371583721282097,0.159100992462488,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.5868634184457164e-10,1.5970341715743075e-10
0.5,0.25,0.5,0.11253355826007645,0.3108229512291547,0.5635784258999862,1.8131815030753218,0.08521234869317142,0.08521234868768489,0.2741507612491218,0.15119874142025239,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.6275316644674973e-10,2.466620657726182e-10
0.5,0.25,0.5,0.13836480680324595,0.34443256206928974,0.5932454359037421,1.7223848765622762,0.085337049814979,0.08533704981097266,0.24776127234396522,0.14384779830791508,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,2.350606237433439e-10,2.509420310436994e-10
0.5,0.25,0.5,0.17012542798525893,0.38155073716325316,0.6243600276352964,1.6363748430347103,0.08560356990946581,0.08560356990635787,0.2243569768621331,0.13710610243671933,2.001873410486283,4.00415941399671,2.0,4.0,0.49953208567622964,0.24974030666822536,40,40,True,True,True,ok,,1.6362602939246074e-10,1.7398472940133303e-10
